Категория,"Номенклатура, Единица",Единица измерения,"Вложимость     в 1 коробке, кг",Вид упаковки,страна,ОПИСАНИЕ ТОВАРА
Бакалея,крахмал картофельный,шт,,,,
Бакалея,"масло растительное 0,87 л",шт,12,Картонная коробка,,
Бакалея,"масло растительное 4,8 л",шт,3,Картонная коробка,,
Бакалея,"масло растительное 5,0 л",шт,3,Картонная коробка,,
Бакалея,мука,шт,50,мешок,,
Бакалея,рис крупа,кг,25,мешок,Китай,
Бакалея,сахар песок,кг,50,мешок,,
Бакалея,соль,шт,,,,
Бакалея,фунчеза уп. 140 гр,кг,,,,
Грибы,грибы (шампиньоны) ,кг,3,Пластиковый короб,Беларусь,"Универсальные грибы с мягкой, сочной текстурой и тонким ароматом. Они идеально подходят для любых блюд: от кремовых супов до сытных пицц и паст. Шампиньоны легко готовятся и сохраняют свою нежность даже после термической обработки, даря каждому блюду насыщенный вкус и аппетитный вид."
Грибы,грибы эноки,кг,,,," С привычными грибами их сравнивать сложно, но в этом и кроется их прелесть. В странах Азии эноки считается изысканным деликатесом — у них неяркий, но приятный, слегка сладковатый вкус с очень тонким грибным ароматом. Благодаря тому, что собственный вкус эноки выражен не ярко, они отлично впитывают в себя ароматы сопутствующих ингредиентов, соусов и специй. А текстура, напоминающая упругую лапшу, делает блюда фактурнее и интереснее.
Классическое применение эноки - добавление их в разнообразные горячие блюда и всевозможные супы. Для этого сначала варят овощи, а за 5 минут до готовности добавляют эноки."
Зелень,укроп ,кг,,Пенопластовая коробка,Китай,"Пожалуй, самая любимая россиянами зелень. Без него не обходится ни один праздничный и будничный стол. Укроп добавляют как в салаты, так и украшают уже готовые блюда. Свежий укроп хранится недолго, но его можно засушить или мелко порезать и заморозить"
Зелень,петрушка,кг,,Пенопластовая коробка,Китай,"Листья петрушки имеют яркий, свежий вкус, который оживляет любые блюда, добавляя им пикантности и насыщенного зелёного аромата. Идеально подходит для салатов, соусов, супов и гарниров, украшая их своим утончённым вкусом и привлекательным видом."
Зелень,кинза ,кг,,,,"Ароматная трава с ярким, пряным и свежим вкусом. Ее интенсивные ноты мгновенно ощущаются в блюде, придавая ему уникальную пикантность. Идеально подходит для мясных и овощных блюд, супов, салатов и соусов. Без нее невозможно представить азиатскую, кавказскую и мексиканскую кухню, да и всеми любимый соус к шашлыкам не будет тем самым без листьев кинзы!"
Зелень,лук зеленый ,кг,,Пенопластовая коробка,Китай,"Нежная зелень лука обладает ярким и острым вкусом, который сочетает в себе мягкую сладость и приятную остроту. Его тонкие перышки добавляют блюдам легкий пикантный акцент, делая их ярче и аппетитнее. Зеленый лук станет прекрасным дополнением к салатам, супам, омлетам и закускам."
Зелень,шпинат ,кг,,Пенопластовая коробка,Китай,"Это один из самых популярных видов овощной зелени. Листья шпината плотные, слегка маслянистые, округлой формы.
Вкус нейтральный, без кислинки. Свежие листья идеально дополнят салаты, сэндвичи и брускетты, станут лёгким гарниром к мясу и эстетичной добавкой к яйцу пашот.
А также из шпината можно приготовить нежный крем-суп, вкуснейший соус к пасте, аппетитный пирог и питательный смузи."
Зелень,лук порей,кг,,,,"Деликатесная зелень с мягким, сладковато-пряным вкусом, который сочетает в себе утонченность и лёгкую пикантность. Его нежные стебли придают блюдам тонкий аромат и приятный луковый оттенок, не перебивая основные ингредиенты. Лук-порей идеален для супов, тушеных блюд и запеканок, добавляя им изысканную глубину вкуса"
Зелень,лук туберозный (черемша) ,кг,,,,"Молодые побеги черемши без листочков. Ранняя зелень с нежным чесночным вкусом и ароматом, но нежная и сладковатая, как зеленый лук.
Черемшу используют в свежем виде, добавляя в салаты, супы, начинки для пирогов, а также как пряность к мясным, рыбным и овощным блюдам. Стебли черемши маринуют, солят или консервируют — такая оригинальная закуска украсит любое застолье."
